VOTER; AV_NDA; AV_MLP; AV_EM; AV_BH; AV_NA; AV_PP; AV_JC; AV_JL; AV_JLM; AV_FA; AV_FF;AV_BLANCK;AV_SPOILED; EV03_NDA; EV03_MLP; EV03_EM; EV03_BH; EV03_NA; EV03_PP; EV03_JC; EV03_JL; EV03_JLM; EV03_FA; EV03_FF; EV03_BLANK; EV03_SPOILED; EV05_NDA; EV05_MLP; EV05_EM; EV05_BH; EV05_NA; EV05_PP; EV05_JC; EV05_JL; EV05_JLM; EV05_FA; EV05_FF; EV05_BLANK; EV05_SPOILED; AV_OPINION; EV_OPINION;GENDER;18-29;30-39;40-49;50-59;60-69;70+;OFFIC
1;1;1;;;;;;;;;;;;3;3;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;2;0;1;0;0;0;0;1
2;;1;;;;1;;;;;;;;0;3;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;
3;;;1;1;;;;;1;1;;;;0;0;1;3;0;0;0;0;2;1;0;0;0;;;;;;;;;;;;;;1;1;2;0;0;0;1;0;0;4
4;;;;;;;;;;;;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;1;0;2;0;0;0;1;0;0;12
5;;;;;;1;;;1;;;;;0;0;0;1;1;2;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;0;2;0;1;0;0;0;0;9
6;;1;1;;;;;;;;;;;0;1;3;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;1;0;2;0;0;0;0;0;1;2
7;;;1;;;;;;1;;1;;;0;0;1;1;0;0;0;0;2;0;1;0;0;;;;;;;;;;;;;;0;1;1;1;0;0;0;0;0;9
8;1;1;;;;;;;;;1;;;2;1;0;0;0;0;0;0;0;0;3;0;0;;;;;;;;;;;;;;0;1;1;0;0;0;1;0;0;11
9;;;;1;;;;;;;;;;0;0;2;3;1;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;1;0;0;3
10;;;;1;1;1;1;;1;;;;;0;0;1;3;2;2;2;1;3;0;0;0;0;;;;;;;;;;;;;;1;1;2;1;0;0;0;0;0;9
11;;;;1;;;;;;;;;;0;0;1;3;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;1;1;1;0;1;0;0;0;0;4
12;;;;1;;;;;1;;;;;0;0;2;3;1;2;0;1;2;0;0;0;0;;;;;;;;;;;;;;1;1;2;1;0;0;0;0;0;4
13;;;1;;;;;;1;;;;;0;0;3;0;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;0;2;0;0;1;0;0;0;3
14;;;;1;;;;;1;;;;;1;0;2;3;1;1;0;2;3;0;0;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;1;0;4
15;;;;1;;;;;1;;;;;0;0;1;3;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;1;1;0;0;0;0;1;0;3
16;;;;1;;;;;1;;;;;0;0;2;3;1;1;0;0;3;0;0;0;0;;;;;;;;;;;;;;0;1;1;1;0;0;0;0;0;4
17;;;;1;;;;;;;;;;0;0;0;3;0;1;0;1;0;0;0;0;0;;;;;;;;;;;;;;1;1;2;0;0;0;1;0;0;4
18;;;1;1;1;1;;;1;;;;;1;0;2;3;1;3;1;0;3;1;0;0;0;;;;;;;;;;;;;;0;1;2;1;0;0;0;0;0;4
19;;;;1;1;1;;;1;;;;;0;0;2;3;2;2;0;0;3;0;0;0;0;;;;;;;;;;;;;;1;1;1;0;0;0;1;0;0;9
20;;;1;1;;;;;;;1;;;1;0;2;2;1;1;1;1;0;1;3;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;1;0;11
21;;;1;;;;;;;;1;;;2;0;3;2;0;0;0;0;1;0;3;0;0;;;;;;;;;;;;;;1;1;1;0;0;0;0;1;0;11
22;;;;1;;;;;1;;;;;0;0;1;2;1;1;0;0;3;0;0;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;1;0;9
23;;;;;;;;;;;;1;;1;0;2;3;2;2;2;2;3;2;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;
24;;;;;1;1;;;;1;;;;0;0;1;2;3;3;1;0;2;3;0;0;0;;;;;;;;;;;;;;0;1;1;0;0;0;1;0;0;10
25;;;;;;;;;;;;;1;0;2;0;0;0;0;0;0;2;0;3;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;0;1;11
26;;;;;;;;;1;;;;;0;0;1;2;1;1;1;1;3;0;0;0;0;;;;;;;;;;;;;;0;1;1;0;0;1;0;0;0;9
27;;;1;1;;1;;;;;;;;0;0;2;3;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;0;2;0;0;0;0;1;0;4
28;;;1;1;;;;;1;;;;;0;0;3;3;1;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;1;0;3
29;;;1;1;;;;;1;;;;;0;0;1;3;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;1;1;2;0;1;0;0;0;0;4
30;;;;1;1;;;;1;;;;;0;1;1;2;2;1;0;0;3;0;1;0;0;;;;;;;;;;;;;;0;1;1;0;1;0;0;0;0;9
31;1;;1;;;;;;;;1;;;1;0;3;1;0;0;0;0;0;0;3;0;0;;;;;;;;;;;;;;1;0;1;0;0;0;0;0;1;3
32;1;1;1;;;;;;;;1;;;1;2;3;2;0;0;0;0;0;0;3;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;1;0;
33;;1;;;;;;;;;;;;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;0;1;0;1;0;0;0;0;2
34;;;;1;1;1;;;1;;;;;0;0;0;1;1;2;0;0;3;0;0;0;0;;;;;;;;;;;;;;1;1;1;0;1;0;0;0;0;6
35;;;;1;;;;;1;;;;;0;0;1;2;1;0;0;0;3;0;1;0;0;;;;;;;;;;;;;;0;1;2;0;1;0;0;0;0;9
36;;;1;1;;;;;1;;;;;0;0;2;3;1;1;0;0;2;0;0;0;0;;;;;;;;;;;;;;1;1;2;0;0;1;0;0;0;3
37;;;1;1;;;;;1;;;;;0;0;3;3;0;3;0;2;3;0;0;0;0;;;;;;;;;;;;;;1;1;2;0;0;1;0;0;0;3
38;;;;1;1;1;;;1;;;;;0;0;0;2;1;1;0;0;3;0;0;0;0;;;;;;;;;;;;;;0;0;2;0;0;1;0;0;0;9
39;;;1;1;;;;;1;;;;;0;0;1;3;2;1;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;1;2;0;0;0;0;0;1;4
40;;;1;1;1;;;;1;;;;;0;0;2;3;2;1;0;0;2;0;0;0;0;;;;;;;;;;;;;;0;1;1;0;1;0;0;0;0;4
