VOTER; AV_NDA; AV_MLP; AV_EM; AV_BH; AV_NA; AV_PP; AV_JC; AV_JL; AV_JLM; AV_FA; AV_FF;AV_SPOILED;AV_BLANCK; EV02_NDA; EV02_MLP; EV02_EM; EV02_BH; EV02_NA; EV02_PP; EV02_JC; EV02_JL; EV02_JLM; EV02_FA; EV02_FF; EV02_SPOILED; EV02_BLANK; EV-11_NDA; EV-11_MLP; EV-11_EM; EV-11_BH; EV-11_NA; EV-11_PP; EV-11_JC; EV-11_JL; EV-11_JLM; EV-11_FA; EV-11_FF; EV-11_SPOILED; EV-11_BLANK; EV03_NDA; EV03_MLP; EV03_EM; EV03_BH; EV03_NA; EV03_PP; EV03_JC; EV03_JL; EV03_JLM; EV03_FA; EV03_FF; EV03_SPOILED; EV03_BLANK; EV-12_NDA; EV-12_MLP; EV-12_EM; EV-12_BH; EV-12_NA; EV-12_PP; EV-12_JC; EV-12_JL; EV-12_JLM; EV-12_FA; EV-12_FF; EV-12_SPOILED; EV-12_BLANK;OPI_EXPE;OFFIC;TO_VOTE_IS;POL_POSITION;AGE ;GENDER;EDUC;WORK;RELIG;SOCIA;
1;;;;1;;1;;;1;;;;;0;0;0;2;1;1;0;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;25;2,3;1;1;3;1;3;;
2;;;1;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;9;124;5;1;2;2;2;3;2;
3;;;1;1;;;;;1;;;;;;;1;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;
4;;;;1;;;;;1;;;;;0;0;0;1;0;1;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;12;5;2;1;3;2;3;1;
5;;;1;1;;;;;;;;;;1;0;2;1;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;1234;5;1;1;3;6;3;1;
6;;;1;1;;;;;1;;;;;0;0;2;1;1;1;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;124;5;2;1;3;2;3;1;
7;;;1;;;;;;;;;;;1;0;1;1;0;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;12;5;2;1;3;3;3;1;
8;;;1;;;;;;;;1;;;0;0;1;1;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;11;1234;8;3;2;3;2;3;1;
9;1;;;1;;;;;;1;1;;;2;1;1;2;1;0;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;7;2;1;3;2;3;3;
10;1;;1;;;;;;1;;1;;;1;;1;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;11;1234;7;5;1;3;2;2;1;
11;;;1;;1;;;;;;;;;0;0;2;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;9;2;1;2;4;2;1;
12;;;1;1;;;;;1;;;;;;0;1;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;12;2;3;1;2;3;7;3;1;
13;;;1;1;;1;;1;;;;;;0;0;2;1;0;1;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;1234;3;1;1;3;6;3;1;
14;;;;1;;1;;;1;;;;;0;0;0;2;0;1;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;12;3;3;2;3;2;3;2;
15;;;1;1;;;;;1;;1;;;0;0;2;2;1;1;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1234;4;2;1;3;2;3;1;
16;1;1;;;;;;;;;;;;2;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;10;3;2;;3;3;1;
17;;;;;1;;;;1;;;;;0;0;0;0;1;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;1;;;1;;;1;;;;;1;0;1;1;0;2;1;0;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;2;4;3;1;3;3;2;1;
19;;1;1;1;;;;;;;;;;1;2;2;2;1;1;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;1234;4;3;2;3;3;2;2;
20;;;1;1;;;;;;;;;;1;0;2;2;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;134;4;2;1;3;2;3;;
21;;;1;1;;;;;1;;;;;0;0;1;1;0;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;123;3;2;2;2;2;3;1;
22;;;;1;;;;;;;;;;0;0;1;2;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;2;1;2;1;6;3;1;
23;;;;;;;;;;;1;;;0;0;1;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;11;1234;8;3;1;3;1;1;2;
